dream_vals,login_vals,time_vals,gt_vals,earnings_vals,total_time,strats
0,2,2760,1,232060.0,5520,stocked
0,2,2760,1,453868.0,5520,unstocked
0,2,2760,2,176035.20000004827,5520,stocked
0,2,2760,2,873646.3999999999,5520,unstocked
0,2,2760,3,642302.6000001582,5520,stocked
0,2,2760,3,293608.8,5520,unstocked
0,2,3060,1,740832.0,6120,stocked
0,2,3060,1,595668.0,6120,unstocked
0,2,3060,2,981340.7999996743,6120,stocked
0,2,3060,2,0.0,6120,unstocked
0,2,3060,3,721215.6000001609,6120,stocked
0,2,3060,3,375143.8,6120,unstocked
0,2,3360,1,429488.0,6720,stocked
0,2,3360,1,978636.0,6720,unstocked
0,2,3360,2,378747.5999997855,6720,stocked
0,2,3360,2,0.0,6720,unstocked
0,2,3360,3,462267.8000001169,6720,stocked
0,2,3360,3,750287.6,6720,unstocked
0,3,60,1,32364.0,180,stocked
0,3,60,1,0.0,180,unstocked
0,3,60,2,35600.399999993235,180,stocked
0,3,60,2,0.0,180,unstocked
0,3,60,3,37218.600000007384,180,stocked
0,3,60,3,0.0,180,unstocked
0,3,360,1,160020.0,1080,stocked
0,3,360,1,0.0,1080,unstocked
0,3,360,2,494216.7999999154,1080,stocked
0,3,360,2,218411.6,1080,unstocked
0,3,360,3,46869.40000000908,1080,stocked
0,3,360,3,0.0,1080,unstocked
0,3,660,1,32364.0,1980,stocked
0,3,660,1,127656.0,1980,unstocked
0,3,660,2,47970.99999998727,1980,stocked
0,3,660,2,218411.6,1980,unstocked
0,3,660,3,180621.2999999386,1980,stocked
0,3,660,3,146804.4,1980,unstocked
0,3,960,1,443480.0,2880,stocked
0,3,960,1,127656.0,2880,unstocked
0,3,960,2,250474.40000003553,2880,stocked
0,3,960,2,0.0,2880,unstocked
0,3,960,3,940281.4000003017,2880,stocked
0,3,960,3,293608.8,2880,unstocked
0,3,1260,1,168184.0,3780,stocked
0,3,1260,1,127656.0,3780,unstocked
0,3,1260,2,106994.80000005054,3780,stocked
0,3,1260,2,639676.4,3780,unstocked
0,3,1260,3,398417.5000000822,3780,stocked
0,3,1260,3,0.0,3780,unstocked
0,3,1560,1,468792.0,4680,stocked
0,3,1560,1,780080.0,4680,unstocked
0,3,1560,2,122652.20000003875,4680,stocked
0,3,1560,2,639676.4,4680,unstocked
0,3,1560,3,630034.4000002211,4680,stocked
0,3,1560,3,375143.8,4680,unstocked
0,3,1860,1,358396.0,5580,stocked
0,3,1860,1,127656.0,5580,unstocked
0,3,1860,2,965214.7999996722,5580,stocked
0,3,1860,2,936078.0,5580,unstocked
0,3,1860,3,53530.20000000963,5580,stocked
0,3,1860,3,375143.8,5580,unstocked
0,3,2160,1,613608.0,6480,stocked
